case_submitter_id	sample_submitter_id	rna_expression_file_id	ascat_cnv_file_id	caveman_vcf_file_id	pindel_vcf_file_id
C3L-00674	C3L-00674-71	5fbd8f83-c1ce-4ff5-9c98-c74eb6412484	4824c4e5-87a5-4b08-b774-8d86d1430b19	08bce836-7760-4dfd-9a2a-2474827a65f3	fe24d1d8-c065-4c09-9c0d-bc2428bff487
C3L-03961	C3L-03961-05	06853a17-c3e8-42dd-800f-529366a4170a	39ff9740-dac4-4a31-828e-0da27e9e979f	7c907258-28cb-48f5-950a-db79e2034ebd	08cab095-cf52-44bc-a57d-8a71e544aeb0
C3N-00314	C3N-00314-04	c118864b-7275-47f9-8d18-2778d672e769	08cb5025-059e-4526-902a-5a6b66c67fbb	55ec8727-ce92-4e35-8fd9-07b4d7142e07	59de92c1-efd8-49d2-9a8f-8b7e025fa447
C3N-00383	C3N-00383-04	a3b8e521-cb93-4a4e-b060-e8591c6515c2	090148a5-91e6-4c06-98e7-339036c57bee	91a0a194-0c52-45f2-abcf-9d3c45a07d9c	36999d8a-5349-4eb5-b5dc-8512ef8d53a5
C3L-00098	C3L-00098-02	94a1832b-d5e4-46db-bf3e-aa6161797a89	09044a96-9221-4edf-aa62-234467ac3243	7c69cd2f-f8e6-4b5d-bca5-6f6b06eea10e	81548789-3fb7-4b38-b367-b221833e3af2
C3L-01861	C3L-01861-02	19d19ec9-0969-4304-8b3c-38002bc728e3	bc1d7b4e-e887-4bd3-87da-78cdf179da0a	d9073576-05ad-4628-84ef-3fea13eac173	094bf5b6-89a3-4442-84dc-79f41aed167d
C3N-01194	C3N-01194-04	ac44ccf1-663a-409a-9b78-a1764106e29f	09521e83-2d29-46ac-9005-dbc157fb7db2	3c2a4147-35a6-46ed-b51c-fa25bdd7d11c	67645627-5d93-42a9-a1fb-e7030401ef2c
C3N-02785	C3N-02785-01	9693d32e-8371-4ded-afda-086c6e0a40ec	37c145d1-bb24-48dd-a6da-33e470e8a993	412cc67a-df77-4368-baa6-4900bd42c5ab	09992cd8-9c61-4531-a273-06683bc74f70
C3L-00817	C3L-00817-01	9e5ce1d4-2751-4872-bf8f-991b28f8a8d8	09bc072f-dd75-4a84-894c-0d94aa24f794	1853834c-2be7-4f04-b280-29651d179eb8	6d5da3b9-67e0-48d5-bba2-b970abda30db
C3N-00433	C3N-00433-03	42d4ea43-9f0b-4cc1-b1a5-63f55aaef35a	675ca517-7949-4853-8a4a-edef51d502cd	09ddf408-ffb3-4385-976f-16133e443171	c758fb86-bfd2-4fff-b598-028f35bb4961
